Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8
@iliensss,@iliensss,,User,,,,,,,Sat Nov 23 15:07:57 CET 2019,,,,she/her 🌈 • med student 3/6 • ig: @iliensss,,http://pbs.twimg.com/profile_images/1379566827882356737/OOdt4Jjw_bigger.jpg,787,951,aylin 🏳️‍🌈🏳️‍⚧️,,,,
@siradisimakine,@siradisimakine,,User,,,,,,,Fri Sep 13 22:57:14 CEST 2019,,,,"#proud🏳️‍🌈
two drinks and passed out. 
https://linktr.ee/egundogan",,http://pbs.twimg.com/profile_images/1393621099557105665/yZW-xg_C_bigger.jpg,1050,236,Ersan🧸,,,,
@lordesribz,@lordesribz,<[2021-05-20T19:26:27.662Z]>,User,,,,,,,Sat Aug 08 09:29:41 CEST 2020,,,,"lana del rey, lorde, jorja smith, fka twigs, frank ocean",,http://pbs.twimg.com/profile_images/1370111540066709513/BRQqrt-Z_bigger.jpg,185,114,daniel✨ESC 🇦🇿,pisces♓️,,,
@walkonsunlight,@walkonsunlight,"<[2021-05-20T19:26:27.662Z, 2021-05-20T19:26:41.651Z, 2021-05-20T19:27:29.821Z]>",User,,,,,,,Wed Feb 25 19:26:53 CET 2015,,,,"27y.o♂️, Member of @euroswirki, Lineage II Gamer 🎮, #Eurovision fan, Builder 🏘️👷‍♂️,
Tall guy 😳",,http://pbs.twimg.com/profile_images/1394727021075484676/j9IBxE4W_bigger.jpg,1572,1853,BartQ 🇸🇲🇲🇩🇫🇷🇨🇭🇧🇬🇺🇦🇨🇾🇲🇹🇷🇺🇧🇪🇱🇹,Town of Aden,,,
@lolamare69,@lolamare69,<[2021-05-20T19:26:27.663Z]>,User,,,,,,,Mon Mar 20 16:20:53 CET 2017,,,,"Live and Pleasure Lover, Feminist, cockyboy-fangirl, 😇😈 🌈❤️ +18 only please",,http://pbs.twimg.com/profile_images/1267727540598255620/Trrfb97X_bigger.jpg,621,4998,Lola Marquez,,,,
@yellowvoucher,@yellowvoucher,<[2021-05-20T19:26:27.663Z]>,User,,,,,,,Tue Mar 10 01:43:16 CET 2009,,,,http://archiveofourown.org/works/9530936/chapters/21551162,,http://pbs.twimg.com/profile_images/1380971985539317761/opdIQ1YP_bigger.png,191,247,Fu🥄🔪🖊️🦝,,,,
@scintillerosse,@scintillerosse,,User,,,,,,,Thu Dec 27 16:20:22 CET 2018,,,,"poco fiato ma tante cose da dire |
Juve • F1 • music addicted | she/her",,http://pbs.twimg.com/profile_images/1325009154113724417/B11sOwFq_bigger.jpg,653,397,etta! from space 👽📻,"when the morning comes. ",,,
@brendanb2,@brendanb2,<[2021-05-20T19:26:27.665Z]>,User,,,,,,,Sat Aug 15 13:29:34 CEST 2009,,,,"from Derry.  Massive Leeds United &eurovision fan - big time.  love the gym, food and wine. tweets are my personal views not professional commentary",,http://pbs.twimg.com/profile_images/898978655052984320/X-Yl5Q6R_bigger.jpg,641,572,Brendan Bonner,"Belfast, Northern Ireland",,,
@inesgs55,@inesgs55,<[2021-05-20T19:26:27.960Z]>,User,,,,,,,Fri Mar 01 20:57:35 CET 2013,,,,Diseño Gráfico - Fotógrafa - 21 años - IG. ins55,,http://pbs.twimg.com/profile_images/1273575298668400642/mpc2PkU0_bigger.jpg,323,175,"!NS","Valencia, España",,,
@viikosanz,@viikosanz,<[2021-05-20T19:26:27.972Z]>,User,,,,,,,Mon Nov 08 15:50:25 CET 2010,,,,Eurofan. Potterhead. Niño Elegido. Ilusionado y amargado simultáneamente 📸 http://instagram.com/viikosanz/ 🦷Higiene bucodental 📚,,http://pbs.twimg.com/profile_images/1224731695099891712/FepENx2W_bigger.jpg,490,542,Hurricane🌪vote#9🇷🇸 Viiko🏳️‍🌈 ❁,,,,
