Source,Target,Type,Kind,Id,Label,timeset,Weight
@agathaispunk,@tomaszgolonko,Directed,Retweet,2206,,<[2021-05-20T19:25:19.410Z]>,1
@ritabites,@kaeratari,Directed,Mention,2207,,<[2021-05-20T19:25:19.489Z]>,1
@ritabites,@kaeratari,Directed,Retweet,2208,,<[2021-05-20T19:25:19.489Z]>,1
@tvojeimeje,@dekadno,Directed,Mention,2209,,<[2021-05-20T19:25:19.541Z]>,1
@tvojeimeje,@dekadno,Directed,Retweet,2210,,<[2021-05-20T19:25:19.541Z]>,1
@mooncowardriley,@kreidy_b,Directed,Quote,2211,,<[2021-05-20T19:25:19.567Z]>,1
@frutos_sacha,@telemgzn,Directed,Mention,2212,,<[2021-05-20T19:25:19.694Z]>,1
@frutos_sacha,@telemgzn,Directed,Retweet,2213,,<[2021-05-20T19:25:19.698Z]>,1
@angelicasya,@renyrenner,Directed,Mention,2214,,<[2021-05-20T19:25:19.750Z]>,1
@angelicasya,@renyrenner,Directed,Retweet,2215,,<[2021-05-20T19:25:19.750Z]>,1
@emmanuelcambray,@eurovision,Directed,Mention,2216,,<[2021-05-20T19:25:19.751Z]>,1
@emmanuelcambray,@eurovision,Directed,Retweet,2217,,<[2021-05-20T19:25:19.752Z]>,1
@ninaniston,@kreidy_b,Directed,Mention,2218,,<[2021-05-20T19:25:19.772Z]>,1
@ninaniston,@kreidy_b,Directed,Retweet,2219,,<[2021-05-20T19:25:19.772Z]>,1
@sliv_r,@huertdeauteuil,Directed,Mention,2220,,<[2021-05-20T19:25:20.081Z]>,1
@sliv_r,@huertdeauteuil,Directed,Retweet,2221,,<[2021-05-20T19:25:20.081Z]>,1
@aniryllis,@commonescgirl,Directed,Mention,2222,,<[2021-05-20T19:25:20.085Z]>,1
@aniryllis,@commonescgirl,Directed,Retweet,2223,,<[2021-05-20T19:25:20.085Z]>,1
@aletzagogo,@casasola_89,Directed,Mention,2224,,<[2021-05-20T19:25:20.128Z]>,1
@aletzagogo,@casasola_89,Directed,Retweet,2225,,<[2021-05-20T19:25:20.128Z]>,1
@jcrissnell,@itsmalbert,Directed,Mention,2226,,<[2021-05-20T19:25:20.155Z]>,1
@jcrissnell,@itsmalbert,Directed,Retweet,2227,,<[2021-05-20T19:25:20.155Z]>,1
@messen_a,@femilch,Directed,Mention,2228,,<[2021-05-20T19:25:20.182Z]>,1
@messen_a,@femilch,Directed,Retweet,2229,,<[2021-05-20T19:25:20.182Z]>,1
@alexisacerete,@eurovision,Directed,Mention,2230,,<[2021-05-20T19:25:20.241Z]>,2
@alexisacerete,@eurovision,Directed,Retweet,2231,,<[2021-05-20T19:25:20.241Z]>,1
@thebest_hanker,@visnja24,Directed,Mention,2232,,<[2021-05-20T19:25:20.251Z]>,1
@thebest_hanker,@visnja24,Directed,Retweet,2233,,<[2021-05-20T19:25:20.252Z]>,1
@dashutup,@littleamunt,Directed,Mention,2234,,<[2021-05-20T19:25:20.253Z]>,1
@dashutup,@littleamunt,Directed,Retweet,2235,,<[2021-05-20T19:25:20.253Z]>,1
@chemicalpoisons,@richiemccormack,Directed,Mention,2236,,<[2021-05-20T19:25:20.294Z]>,1
